YEAR,AREA,UNDER_18_POVERTY,CoC_Name
2019,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1431578,GA-500
2021,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",1440171,GA-500
2010,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1382859,GA-500
2011,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1389136,GA-500
2012,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1395836,GA-500
2013,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1398244,GA-500
2014,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1408062,GA-500
2015,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1424015,GA-500
2016,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1429021,GA-500
2017,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1436550,GA-500
2018,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1431964,GA-500
2010,"Barrow County, Georgia",19125,GA-501
2011,"Barrow County, Georgia",19428,GA-501
2012,"Barrow County, Georgia",19222,GA-501
2013,"Barrow County, Georgia",19405,GA-501
2014,"Barrow County, Georgia",19202,GA-501
2015,"Barrow County, Georgia",20053,GA-501
2016,"Barrow County, Georgia",20204,GA-501
2017,"Barrow County, Georgia",20653,GA-501
2018,"Barrow County, Georgia",20723,GA-501
2019,"Barrow County, Georgia",21001,GA-501
2021,"Barrow County, Georgia",21320,GA-501
2010,"Bartow County, Georgia",27266,GA-501
2011,"Bartow County, Georgia",26131,GA-501
2012,"Bartow County, Georgia",26049,GA-501
2013,"Bartow County, Georgia",24450,GA-501
2014,"Bartow County, Georgia",25026,GA-501
2015,"Bartow County, Georgia",25661,GA-501
2016,"Bartow County, Georgia",25733,GA-501
2017,"Bartow County, Georgia",25064,GA-501
2018,"Bartow County, Georgia",24701,GA-501
2019,"Bartow County, Georgia",25116,GA-501
2021,"Bartow County, Georgia",25455,GA-501
2010,"Bibb County, Georgia",38691,GA-501
2011,"Bibb County, Georgia",39594,GA-501
2012,"Bibb County, Georgia",39251,GA-501
2013,"Bibb County, Georgia",38751,GA-501
2014,"Bibb County, Georgia",38107,GA-501
2015,"Bibb County, Georgia",36831,GA-501
2016,"Bibb County, Georgia",37329,GA-501
2017,"Bibb County, Georgia",37200,GA-501
2018,"Bibb County, Georgia",36018,GA-501
2019,"Bibb County, Georgia",35915,GA-501
2021,"Bibb County, Georgia",37302,GA-501
2010,"Bulloch County, Georgia",14529,GA-501
2011,"Bulloch County, Georgia",14303,GA-501
2012,"Bulloch County, Georgia",13798,GA-501
2013,"Bulloch County, Georgia",14421,GA-501
2014,"Bulloch County, Georgia",14409,GA-501
2015,"Bulloch County, Georgia",14329,GA-501
2016,"Bulloch County, Georgia",14252,GA-501
2017,"Bulloch County, Georgia",15058,GA-501
2018,"Bulloch County, Georgia",14933,GA-501
2019,"Bulloch County, Georgia",14731,GA-501
2021,"Bulloch County, Georgia",14817,GA-501
2010,"Carroll County, Georgia",27176,GA-501
2011,"Carroll County, Georgia",27565,GA-501
2012,"Carroll County, Georgia",26925,GA-501
2013,"Carroll County, Georgia",27456,GA-501
2014,"Carroll County, Georgia",27569,GA-501
2015,"Carroll County, Georgia",27442,GA-501
2016,"Carroll County, Georgia",27354,GA-501
2017,"Carroll County, Georgia",27771,GA-501
2018,"Carroll County, Georgia",27025,GA-501
2019,"Carroll County, Georgia",27818,GA-501
2021,"Carroll County, Georgia",26703,GA-501
2012,"Catoosa County, Georgia",15797,GA-501
2013,"Catoosa County, Georgia",15843,GA-501
2014,"Catoosa County, Georgia",15124,GA-501
2015,"Catoosa County, Georgia",14596,GA-501
2016,"Catoosa County, Georgia",14939,GA-501
