CoC,Total_Year_round_Beds_ES_TH,Total_Non_DV_Year_round_Beds_ES_TH,Total_HMIS_Year_round_Beds_ES_TH,HMIS_Participation_Rate_ES_TH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH,Total_Year_round_ES_Beds,Total_Non_DV_Year_round_ES_Beds,Total_HMIS_Year_round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_OverflowVoucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_round_TH_Beds,Total_Non_DV_Year_round_TH_Beds,Total_HMIS_Year_round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_round_PSH_Beds,Total_Non_DV_Year_round_PSH_Beds,Total_HMIS_Year_round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
AK-500,884,804,408,0.507,500,384,82,255,629,500,430,328,0.763,0,130,18,134,366,384,384,374,80,0.214,64,121,263,330,330,330,202,0.612,121,23,53,277
AK-501,874,506,95,0.188,595,279,126,417,457,595,279,0,0,0,12,95,304,291,279,279,227,95,0.419,31,113,166,159,159,159,47,0.296,28,10,20,139
AL-500,1303,1078,574,0.532,388,915,166,511,792,388,317,242,0.763,45,15,25,80,308,915,915,761,332,0.436,141,431,484,1292,1292,1292,1091,0.844,257,293,817,475
AL-501,459,368,310,0.842,133,326,57,189,270,133,77,14,0.182,35,27,21,62,71,326,326,291,296,1.017,36,127,199,171,171,171,171,1,65,19,49,122
AL-502,174,127,51,0.402,36,138,21,75,99,36,36,4,0.111,0,0,4,22,14,138,138,91,47,0.516,17,53,85,79,79,79,0,0,2,0,0,79
AL-503,858,811,598,0.737,438,420,44,123,735,438,391,307,0.785,0,55,20,25,413,420,420,420,291,0.693,24,98,322,141,141,141,108,0.766,88,0,0,141
AL-504,429,355,285,0.803,153,276,29,87,342,153,133,132,0.992,9,59,3,11,142,276,276,222,153,0.689,26,76,200,239,239,239,189,0.791,90,24,61,178
AL-505,294,227,36,0.159,228,66,20,60,234,228,161,18,0.112,56,55,15,45,183,66,66,66,18,0.273,5,15,51,2,2,2,0,0,1,1,1,1
AL-506,317,289,136,0.471,93,224,39,112,205,93,65,37,0.569,0,29,12,37,56,224,224,224,99,0.442,27,75,149,59,59,59,49,0.831,10,4,12,47
AL-507,539,392,0,0,297,242,54,173,366,297,182,0,0,0,0,53,171,126,242,242,210,0,0,1,2,240,437,437,413,0,0,0,6,13,424
