CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_Voucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
AK-500,899,819,618,0.755,540,359,0,97,305,594,540,470,400,0.851,0,0,33,174,366,359,359,349,218,0.625,64,131,228,0,0,0,0,0,0,319,319,319,262,0.821,121,16,40,279
AK-501,798,437,108,0.247,574,224,0,131,388,410,574,277,30,0.108,0,0,98,291,283,224,224,160,78,0.488,33,97,127,0,0,0,0,0,0,147,147,147,58,0.395,40,10,28,119
AL-500,1134,979,641,0.655,312,788,34,137,464,670,312,251,241,0.96,55,30,19,67,245,788,788,694,366,0.527,118,397,391,34,34,34,34,1,34,1205,1205,1205,1093,0.907,261,218,664,541
AL-501,424,327,219,0.67,190,234,0,71,224,200,190,134,115,0.858,25,0,29,94,96,234,234,193,104,0.539,42,130,104,0,0,0,0,0,0,167,167,167,167,1,73,14,39,128
AL-502,261,214,36,0.168,36,225,0,20,72,189,36,36,36,1,0,0,4,22,14,225,225,178,0,0,16,50,175,0,0,0,0,0,0,77,77,77,0,0,4,0,0,77
AL-503,740,701,154,0.22,362,378,0,42,94,646,362,323,68,0.211,23,0,7,14,348,378,378,378,86,0.228,35,80,298,0,0,0,0,0,0,252,252,252,47,0.187,24,1,3,249
AL-504,417,354,257,0.726,141,276,0,34,89,328,141,132,108,0.818,0,40,4,11,130,276,276,222,149,0.671,30,78,198,0,0,0,0,0,0,218,218,218,184,0.844,62,17,53,165
AL-505,252,209,52,0.249,181,71,0,13,72,180,181,138,34,0.246,56,41,7,54,127,71,71,71,18,0.254,6,18,53,0,0,0,0,0,0,68,68,68,6,0.088,1,35,42,26
AL-506,329,301,146,0.485,93,236,0,39,112,217,93,65,37,0.569,0,29,12,37,56,236,236,236,109,0.462,27,75,161,0,0,0,0,0,0,62,62,62,3,0.048,11,4,12,50
AL-507,780,679,0,0,324,456,0,72,199,581,324,224,0,0,0,1,70,195,129,456,456,455,0,0,2,4,452,0,0,0,0,0,0,366,366,366,0,0,6,6,13,353
AR-500,935,790,593,0.751,408,527,0,93,317,618,408,363,253,0.697,0,134,28,89,319,527,527,427,340,0.796,65,228,299,0,0,0,0,0,0,690,690,685,625,0.912,71,149,416,274
AR-501,293,188,183,0.973,180,113,0,51,147,146,180,105,105,1,0,0,22,64,116,113,113,83,78,0.94,29,83,30,0,0,0,0,0,0,40,40,40,40,1,0,0,0,40
AR-502,126,71,15,0.211,55,71,0,11,42,84,55,0,0,0,0,0,8,33,22,71,71,71,15,0.211,3,9,62,0,0,0,0,0,0,9,9,9,0,0,0,0,0,9
AR-504,235,112,123,1.098,182,53,0,28,89,146,182,59,70,1.186,0,13,28,89,93,53,53,53,53,1,0,0,53,0,0,0,0,0,0,55,55,55,55,1,0,0,0,55
AR-505,159,55,61,1.109,145,14,0,20,58,101,145,55,61,1.109,0,6,15,46,99,14,14,0,0,.,5,12,2,0,0,0,0,0,0,24,24,24,24,1,12,4,12,12
AR-506,99,79,81,1.025,23,76,0,5,10,89,23,3,5,1.667,0,2,5,10,13,76,76,76,76,1,0,0,76,0,0,0,0,0,0,694,694,694,0,0,113,59,239,455
AZ-500,1555,909,823,0.905,801,754,0,293,973,582,801,326,319,0.979,86,2,161,530,271,754,754,583,504,0.864,132,443,311,0,0,0,0,0,0,373,373,373,343,0.92,198,31,87,286
AZ-501,2530,2399,1651,0.688,749,1766,15,302,1067,1463,749,650,196,0.302,187,0,70,253,496,1766,1766,1734,1440,0.83,232,814,952,15,15,15,15,1,15,622,622,608,585,0.962,115,56,167,455
AZ-502,5718,4757,3628,0.763,2694,2999,25,929,3229,2489,2694,2041,1393,0.683,0,63,322,1223,1471,2999,2999,2691,2210,0.821,607,2006,993,25,25,25,25,1,25,2523,2523,2523,2503,0.992,552,267,824,1699
CA-500,1901,1707,1654,0.969,731,1160,10,291,1076,825,731,669,648,0.969,298,8,74,288,443,1160,1160,1028,996,0.969,217,788,372,10,10,10,10,1,10,1462,1462,1462,1254,0.858,285,273,971,491
CA-501,2339,2178,1917,0.88,1640,674,25,225,732,1607,1640,1567,1411,0.9,196,5,125,405,1235,674,674,586,481,0.821,100,327,347,25,25,25,25,1,25,5233,5233,5233,4334,0.828,2790,420,1223,4010
CA-502,2463,1888,1134,0.601,920,1543,0,428,1334,1129,920,682,457,0.67,245,80,123,407,513,1543,1543,1206,677,0.561,305,927,616,0,0,0,0,0,0,1957,1957,1957,1344,0.687,443,291,840,1117
