CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_OV,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_OverflowVoucher_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
AK-500,877,789,657,0.833,548,329,0,79,280,597,548,470,430,0.915,0,25,34,188,360,329,329,319,227,0.712,45,92,237,0,0,0,0,0.0,0,364,364,364,290,0.797,27,23,67,297
AK-501,820,446,263,0.59,567,253,0,120,371,449,567,260,163,0.627,0,0,85,254,313,253,253,186,100,0.538,35,117,136,0,0,0,0,0.0,0,143,143,143,60,0.42,35,9,26,117
AL-500,1187,1032,660,0.64,340,813,34,140,478,709,340,279,255,0.914,0,55,22,81,259,813,813,719,371,0.516,118,397,416,34,34,34,34,1.0,34,1102,1102,1102,1052,0.955,232,187,623,479
AL-501,312,219,173,0.79,171,141,0,77,201,111,171,115,91,0.791,0,25,30,86,85,141,141,104,82,0.788,47,115,26,0,0,0,0,0.0,0,159,159,159,114,0.717,71,12,28,131
AL-502,245,198,38,0.192,38,207,0,20,72,173,38,38,38,1,0,0,4,22,16,207,207,160,0,0,16,50,157,0,0,0,0,0.0,0,79,79,79,0,0.0,3,0,0,79
AL-503,631,592,165,0.279,360,271,0,44,129,502,360,321,71,0.221,0,18,9,16,344,271,271,271,94,0.347,35,113,158,0,0,0,0,0.0,0,20,20,20,10,0.5,10,0,0,20
AL-504,345,285,250,0.877,120,225,0,29,86,259,120,114,107,0.939,0,39,6,14,106,225,225,171,143,0.836,23,72,153,0,0,0,0,0.0,0,242,242,242,206,0.851,73,17,53,189
AL-505,236,209,52,0.249,165,71,0,13,72,164,165,138,34,0.246,56,41,7,54,111,71,71,71,18,0.254,6,18,53,0,0,0,0,0.0,0,69,69,69,6,0.087,2,35,42,27
AL-506,329,301,146,0.485,93,236,0,39,112,217,93,65,37,0.569,0,29,12,37,56,236,236,236,109,0.462,27,75,161,0,0,0,0,0.0,0,97,97,97,14,0.144,46,4,12,85
AL-507,780,679,0,0,324,456,0,72,199,581,324,224,0,0,0,1,70,195,129,456,456,455,0,0,2,4,452,0,0,0,0,0.0,0,366,366,366,0,0.0,6,6,13,353
