CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonaloverflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children
AK-500,1056,972,839,0.863,579,477,0,132,411,645,579,505,425,0.842,0,52,46,207,372,477,477,467,414,0.887,86,204,273,0,0,0,0,0,0,449,449,449,369,0.822,26,31,81,368
AK-501,883,527,389,0.738,629,254,0,157,449,434,629,343,245,0.714,20,7,126,354,275,254,254,184,144,0.783,31,95,159,0,0,0,0,0,0,137,137,132,65,0.492,24,23,48,89
AL-500,1269,1166,690,0.592,330,905,34,161,524,745,330,285,275,0.965,0,55,44,98,232,905,905,847,381,0.45,117,426,479,34,34,34,34,1,34,1336,1336,1336,987,0.739,255,199,677,659
AL-501,415,332,322,0.97,265,150,0,73,222,193,265,213,213,1.0,0,25,35,115,150,150,150,119,109,0.916,38,107,43,0,0,0,0,0,0,180,180,180,170,0.944,96,23,38,142
AL-502,291,209,34,0.163,34,257,0,20,88,203,34,34,34,1.0,0,10,3,18,16,257,257,175,0,0,17,70,187,0,0,0,0,0,0,79,79,79,0,0.0,3,0,0,79
AL-503,571,525,362,0.69,407,164,0,47,182,389,407,361,231,0.64,0,0,17,66,341,164,164,164,131,0.799,30,116,48,0,0,0,0,0,0,123,123,123,54,0.439,10,11,30,93
AL-504,375,311,308,0.99,119,256,0,29,103,272,119,109,109,1.0,0,3,6,19,100,256,256,202,199,0.985,23,84,172,0,0,0,0,0,0,282,282,282,227,0.805,110,25,83,199
AL-505,405,374,98,0.262,172,233,0,39,93,312,172,151,76,0.503,66,41,32,82,90,233,233,223,22,0.099,7,11,222,0,0,0,0,0,0,20,20,20,12,0.6,1,20,20,0
AL-506,339,320,219,0.684,84,255,0,42,112,227,84,65,52,0.8,0,35,12,37,47,255,255,255,167,0.655,30,75,180,0,0,0,0,0,0,142,142,142,20,0.141,71,4,12,130
AL-507,832,728,19,0.026,419,413,0,83,238,594,419,316,3,0.009,20,1,77,217,202,413,413,412,16,0.039,6,21,392,0,0,0,0,0,0,371,371,371,0,0.0,17,3,11,360
