CoC,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_ES_TH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH,Total_Beds_for_Households_with_Children_ES_TH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
AK-500,1001,925,812,0.878,571,430,0,124,350,651,0,571,505,425,0.842,0,169,40,151,420,0,430,430,420,387,0.921,84,199,231,.,0,0,0,0,0,0,0,516,516,516,420,0.814,37,47,155,361,0
AK-501,876,528,401,0.759,620,256,0,134,393,451,32,620,335,263,0.785,19,2,104,295,298,27,256,256,193,138,0.715,30,98,153,5,0,0,0,0,0,0,0,153,153,148,75,0.507,24,24,60,93,0
AL-500,1131,1044,700,0.67,350,747,34,135,421,692,18,350,305,270,0.885,0,55,25,75,257,18,747,747,705,396,0.562,110,346,401,.,34,34,34,34,1,34,0,1361,1361,1361,1012,0.744,285,194,665,696,0
AL-501,379,301,293,0.973,251,128,0,74,206,173,0,251,202,202,1,0,14,39,112,139,0,128,128,99,91,0.919,35,94,34,0,0,0,0,0,0,0,0,214,214,214,173,0.808,81,17,43,171,0
AL-502,250,198,34,0.172,44,206,0,19,73,177,0,44,44,34,0.773,0,10,3,18,26,0,206,206,154,0,0,16,55,151,.,0,0,0,0,0,0,0,77,77,77,0,0.0,3,0,0,77,0
AL-503,581,535,273,0.51,449,132,0,70,213,368,0,449,403,200,0.496,0,8,19,105,344,0,132,132,132,73,0.553,51,108,24,.,0,0,0,0,0,0,0,145,145,145,50,0.345,0,85,85,60,0
AL-504,413,351,351,1,133,280,0,37,103,310,0,133,127,127,1,0,0,5,15,118,0,280,280,224,224,1,32,88,192,.,0,0,0,0,0,0,0,327,327,327,177,0.541,158,35,95,232,0
AL-505,481,450,103,0.229,258,223,0,33,97,312,72,258,237,78,0.329,66,41,32,92,94,72,223,223,213,25,0.117,1,5,218,0,0,0,0,0,0,0,0,20,20,20,12,0.6,0,20,20,0,0
AL-506,161,95,8,0.084,28,133,0,19,62,99,0,28,2,0,0,0,0,9,19,9,0,133,133,93,8,0.086,10,43,90,.,0,0,0,0,0,0,0,122,122,122,15,0.123,50,0,0,122,0
AL-507,901,778,45,0.058,503,398,0,91,244,657,0,503,380,33,0.087,0,1,88,237,266,0,398,398,398,12,0.03,3,7,391,.,0,0,0,0,0,0,0,343,343,343,0,0.0,17,3,11,332,0
