CoC_Number,Total_Year_Round_Beds_ES_TH_RRH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_RRH_SH,Total_HMIS_Year_Round_Beds_ES_TH_RRH_SH,HMIS_Participation_Rate_ES_TH_RRH_SH,Total_Emergency_Shelter_ES_Beds_excluding_seasonal_overflow,Total_Transitional_Housing_TH_Beds,Total_Rapid_Rehousing_RRH_Beds,Total_Safe_Haven_SH_Beds,Total_Units_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_with_Children_ES_TH_RRH,Total_Beds_for_Households_without_Children_ES_TH_RRH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_RRH_SH,Total_Year_Round_ES_Beds,Total_Non_DV_Year_Round_ES_Beds,Total_HMIS_Year_Round_ES_Beds,ES_HMIS_Participation_Rate,Total_Seasonal_ES_Beds,Total_Overflow_ES_Beds,Total_ES_Units_for_Households_with_Children,Total_ES_Beds_for_Households_with_Children,Total_ES_Beds_for_Households_without_Children,Total_ES_Beds_for_Households_with_only_Children,Total_TH_Beds,Total_Year_Round_TH_Beds,Total_Non_DV_Year_Round_TH_Beds,Total_HMIS_Year_Round_TH_Beds,TH_HMIS_Participation_Rate,Total_TH_Units_for_Households_with_Children,Total_TH_Beds_for_Households_with_Children,Total_TH_Beds_for_Households_without_Children,Total_TH_Beds_for_Households_with_only_Children,Total_RRH_Beds,Total_Year_Round_RRH_Beds,Total_Non_DV_Year_Round_RRH_Beds,Total_HMIS_Year_Round_RRH_Beds,RRH_HMIS_Participation_Rate,Total_RRH_Units_for_Households_with_Children,Total_RRH_Beds_for_Households_with_Children,Total_RRH_Beds_for_Households_without_Children,Total_RRH_Beds_for_Households_with_only_Children,Total_SH_Beds,Total_Year_Round_SH_Beds,Total_Non_DV_Year_Round_SH_Beds,Total_HMIS_Year_Round_SH_Beds,SH_HMIS_Participation_Rate,Total_SH_Beds_for_Households_without_Children,Total_SH_Beds_for_Households_with_only_Children,Total_PSH_Beds,Total_Year_Round_PSH_Beds,Total_Non_DV_Year_Round_PSH_Beds,Total_HMIS_Year_Round_PSH_Beds,PSH_HMIS_Participation_Rate,Total_Chronic_Homeless_PSH_Beds,Total_PSH_Units_for_Households_with_Children,Total_PSH_Beds_for_Households_with_Children,Total_PSH_Beds_for_Households_without_Children,Total_PSH_Beds_for_Households_with_only_Children
AK-500,1015,939,769,0.819,574,441,0,0,90,310,705,0,574,522,425,0.814,17,148,43,154,420,0,441,441,417,344,0.825,47,156,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,604,604,576,0.954,84,50,178,426,0
AK-501,880,521,402,0.772,630,250,0,0,125,353,511,16,630,339,274,0.808,20,16,99,272,346,12,250,250,182,128,0.703,26,81,165,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,188,188,188,1,36,15,45,143,0
AL-500,1222,1135,793,0.699,354,834,0,34,166,499,705,18,354,309,276,0.893,0,55,25,75,261,18,834,834,792,483,0.61,141,424,410,0,0,0,0,0,0,0,0,0,0,34,34,34,34,1,34,0,1361,1361,1361,1062,0.78,285,194,665,696,0
AL-501,386,308,300,0.974,251,130,5,0,70,208,178,0,251,202,202,1,0,27,37,112,139,0,130,130,101,93,0.921,33,96,34,0,5,5,5,5,1,0,0,5,0,0,0,0,0,0,0,0,217,217,217,179,0.825,77,13,36,181,0
AL-502,258,180,38,0.211,67,191,0,0,32,113,145,0,67,67,38,0.567,0,0,8,34,33,0,191,191,113,0,0,24,79,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,0,0,10,0,0,68,0
AL-503,559,509,259,0.509,442,117,0,0,63,187,372,0,442,397,206,0.519,0,12,23,100,342,0,117,117,112,53,0.473,40,87,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,178,93,0.522,18,21,21,157,0
AL-504,458,396,396,1,151,307,0,0,52,135,323,0,151,145,145,1,0,0,15,30,121,0,307,307,251,251,1,37,105,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,348,348,179,0.514,227,39,109,239,0
AL-505,386,355,103,0.29,258,128,0,0,33,97,217,72,258,237,78,0.329,66,41,32,92,94,72,128,128,118,25,0.212,1,5,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,1,0,12,12,0,0
AL-506,154,128,40,0.313,28,126,0,0,15,51,103,0,28,2,0,0,0,0,9,19,9,0,126,126,126,40,0.317,6,32,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,160,23,0.144,58,0,0,160,0
AL-507,654,542,45,0.083,392,262,0,0,95,339,315,0,392,280,33,0.118,0,1,72,196,196,0,262,262,262,12,0.046,23,143,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,56,0,0,4,2,8,48,0
