CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non-DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non-DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non-DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non-DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non-DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non-DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non-DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non-DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
AK-500,1019,943,734,0.7203,603,416,0,92,297,722,0,551,411,0.6816,11,103,44,142,461,0,392,323,0.7764,48,155,261,0,0,0,.,0,0,0,0,28,14,14,0.5,9,25,3,0,28,14,14,0.5,9,25,3,0,0,0,0,.,0,0,0,0,492,492,303,0.6159,51,168,324,0,71,71,71,1,0,0,71,0
AK-501,841,482,400,0.4756,581,260,0,110,354,445,42,275,229,0.3941,50,0,79,245,311,25,207,171,0.6577,31,109,134,17,0,0,.,0,0,0,0,7,7,7,1,0,0,7,0,7,7,7,1,0,0,7,0,0,0,0,.,0,0,0,0,284,274,145,0.5106,19,87,197,0,0,0,0,.,0,0,0,0
AL-500,1054,967,826,0.7837,406,614,34,125,391,645,18,347,335,0.8251,0,35,27,82,306,18,586,457,0.7443,98,309,305,0,34,34,1,0,0,34,0,585,585,585,1,81,275,310,0,585,585,585,1,81,275,310,0,0,0,0,.,0,0,0,0,1686,1686,1122,0.6655,299,960,726,0,34,34,0,0,4,12,22,0
AL-501,484,403,326,0.6736,359,125,0,69,171,313,0,311,249,0.6936,0,59,42,104,255,0,92,77,0.616,27,67,58,0,0,0,.,0,0,0,0,75,75,6,0.08,17,47,28,0,75,75,6,0.08,17,47,28,0,0,0,0,.,0,0,0,0,208,208,208,1,9,22,186,0,0,0,0,.,0,0,0,0
AL-502,264,184,0,0,70,194,0,46,162,102,0,70,0,0,60,0,12,40,30,0,114,0,0,34,122,72,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,58,58,2,0.0345,1,2,56,0,0,0,0,.,0,0,0,0
AL-503,532,477,160,0.3008,498,34,0,44,148,376,8,448,138,0.2771,0,15,33,133,357,8,29,22,0.6471,11,15,19,0,0,0,.,0,0,0,0,49,49,49,1,6,23,26,0,49,49,49,1,6,23,26,0,0,0,0,.,0,0,0,0,241,241,88,0.3651,34,43,198,0,0,0,0,.,0,0,0,0
AL-504,414,354,339,0.8188,153,261,0,46,125,289,0,147,132,0.8627,0,0,15,42,111,0,207,207,0.7931,31,83,178,0,0,0,.,0,0,0,0,11,11,11,1,3,9,2,0,11,11,11,1,3,9,2,0,0,0,0,.,0,0,0,0,471,471,201,0.4268,40,163,308,0,22,22,0,0,0,0,22,0
AL-505,98,73,64,0.6531,89,9,0,0,0,88,10,64,64,0.7191,0,13,0,0,79,10,9,0,0,0,0,9,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,16,16,16,1,2,4,12,0,0,0,0,.,0,0,0,0
AL-506,198,182,62,0.3131,16,182,0,15,54,144,0,0,0,0,0,0,5,6,10,0,182,62,0.3407,10,48,134,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,258,258,258,1,0,0,258,0,0,0,0,.,0,0,0,0
AL-507,569,481,18,0.0316,277,292,0,68,202,359,8,189,8,0.0289,0,5,47,137,132,8,292,10,0.0342,21,65,227,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,57,57,57,1,6,13,44,0,154,154,0,0,2,8,146,0
