CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Total_Year_Round_Beds_RRH_AND_DEM,Total_Non_DV_Year_Round_Beds_RRH_AND_DEM,Total_HMIS_Year_Round_Beds_RRH_AND_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_RRH_AND_DEM,Total_Units_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_with_Children_RRH_AND_DEM,Total_Beds_for_Households_without_Children_RRH_AND_DEM,Total_Beds_for_Households_with_only_Children_RRH_AND_DEM,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Total_Year_Round_Beds_DEM,Total_Non_DV_Year_Round_Beds_DEM,Total_HMIS_Year_Round_Beds_DEM,HMIS_Participation_Rate_for_Year_Round_Beds_DEM,Total_Units_for_Households_with_Children_DEM,Total_Beds_for_Households_with_Children_DEM,Total_Beds_for_Households_without_Children_DEM,Total_Beds_for_Households_with_only_Children_DEM,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH
AK-500,1007,933,827,0.8213,553,454,0,109,344,655,8,501,431,0.7794,179,2,41,147,398,8,432,396,0.8722,68,197,257,0,0,0,.,0,0,0,0,55,41,41,0.7455,17,48,7,0,55,41,41,0.7455,17,48,7,0,0,0,0,.,0,0,0,0,434,434,289,0.6659,40,84,350,0,97,97,97,1,0,0,97,0
AK-501,819,535,422,0.5153,542,277,0,76,289,511,19,308,270,0.4982,24,15,46,183,340,19,227,152,0.5487,30,106,171,0,0,0,.,0,0,0,0,17,17,17,1,3,9,8,0,17,17,17,1,3,9,8,0,0,0,0,.,0,0,0,0,219,201,96,0.4384,21,25,194,0,33,33,33,1,8,28,5,0
AL-500,1113,1029,885,0.7951,493,586,34,124,380,715,18,433,404,0.8195,0,35,38,100,375,18,562,447,0.7628,86,280,306,0,34,34,1,0,0,34,0,374,374,369,0.9866,34,111,263,0,374,374,369,0.9866,34,111,263,0,0,0,0,.,0,0,0,0,1492,1492,900,0.6032,300,772,720,0,93,93,93,1,4,12,81,0
AL-501,476,391,355,0.7458,354,122,0,73,180,296,0,302,268,0.7571,0,43,48,118,236,0,89,87,0.7131,25,62,60,0,0,0,.,0,0,0,0,467,467,173,0.3704,96,335,132,0,467,467,173,0.3704,96,335,132,0,0,0,0,.,0,0,0,0,504,504,459,0.9107,84,306,198,0,0,0,0,.,0,0,0,0
AL-502,237,157,0,0,41,196,0,38,141,96,0,41,0,0,76,0,4,19,22,0,116,0,0,34,122,74,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,36,36,6,0.1667,0,0,36,0,20,20,0,0,0,0,20,0
AL-503,466,411,151,0.324,432,34,0,46,149,309,8,382,129,0.2986,0,2,35,129,295,8,29,22,0.6471,11,20,14,0,0,0,.,0,0,0,0,39,39,39,1,4,10,29,0,39,39,39,1,4,10,29,0,0,0,0,.,0,0,0,0,278,278,128,0.4604,15,50,228,0,0,0,0,.,0,0,0,0
AL-504,422,358,343,0.8128,258,164,0,52,138,284,0,248,233,0.9031,0,0,25,57,201,0,110,110,0.6707,27,81,83,0,0,0,.,0,0,0,0,47,47,47,1,9,35,12,0,47,47,47,1,9,35,12,0,0,0,0,.,0,0,0,0,514,514,249,0.4844,54,173,341,0,0,0,0,.,0,0,0,0
AL-505,178,145,132,0.7416,112,66,0,14,58,104,16,89,88,0.7857,0,6,11,43,68,1,56,44,0.6667,3,15,36,15,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0
AL-506,98,50,18,0.1837,16,82,0,15,54,44,0,0,0,0,0,0,5,6,10,0,50,18,0.2195,10,48,34,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,290,290,290,1,0,0,290,0,0,0,0,.,0,0,0,0
AL-507,499,411,47,0.0942,206,293,0,40,118,371,10,118,4,0.0194,0,7,33,92,109,5,293,43,0.1468,7,26,262,5,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,280,280,142,0.5071,19,38,241,1,0,0,0,.,0,0,0,0
