CoC_Number,Total_Year_Round_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES_TH_SH,Total_HMIS_Year_Round_Beds_ES_TH_SH,HMIS_Participation_Rate_for_Year_Round_Beds_ES_TH_SH,Total_Year_Round_Beds_ES,Total_Year_Round_Beds_TH,Total_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_with_Children_ES_TH_SH,Total_Beds_for_Households_without_Children_ES_TH_SH,Total_Beds_for_Households_with_only_Children_ES_TH_SH,Dedicated_Veteran_Beds_ES_TH_SH,Dedicated_Youth_Beds_ES_TH_SH,Total_Non_DV_Year_Round_Beds_ES,Total_HMIS_Year_Round_Beds_ES,HMIS_Participation_Rate_for_Year_Round_Beds_ES,Total_Seasonal_Beds_ES,Total_Overflow_Beds_ES,Total_Units_for_Households_with_Children_ES,Total_Beds_for_Households_with_Children_ES,Total_Beds_for_Households_without_Children_ES,Total_Beds_for_Households_with_only_Children_ES,Dedicated_Veteran_Beds_ES,Dedicated_Youth_Beds_ES,Total_Non_DV_Year_Round_Beds_TH,Total_HMIS_Year_Round_Beds_TH,HMIS_Participation_Rate_for_Year_Round_Beds_TH,Total_Units_for_Households_with_Children_TH,Total_Beds_for_Households_with_Children_TH,Total_Beds_for_Households_without_Children_TH,Total_Beds_for_Households_with_only_Children_TH,Dedicated_Veteran_Beds_TH,Dedicated_Youth_Beds_TH,Total_Non_DV_Year_Round_Beds_SH,Total_HMIS_Year_Round_Beds_SH,HMIS_Participation_Rate_for_Year_Round_Beds_SH,Total_Units_for_Households_with_Children_SH,Total_Beds_for_Households_with_Children_SH,Total_Beds_for_Households_without_Children_SH,Total_Beds_for_Households_with_only_Children_SH,Dedicated_Veteran_Beds_SH,Dedicated_Youth_Beds_SH,Total_Year_Round_Beds_RRH,Total_Non_DV_Year_Round_Beds_RRH,Total_HMIS_Year_Round_Beds_RRH,HMIS_Participation_Rate_for_Year_Round_Beds_RRH,Total_Units_for_Households_with_Children_RRH,Total_Beds_for_Households_with_Children_RRH,Total_Beds_for_Households_without_Children_RRH,Total_Beds_for_Households_with_only_Children_RRH,Dedicated_Veteran_Beds_RRH,Dedicated_Youth_Beds_RRH,Total_Year_Round_Beds_PSH,Total_Non_DV_Year_Round_Beds_PSH,Total_HMIS_Year_Round_Beds_PSH,HMIS_Participation_Rate_for_Year_Round_Beds_PSH,Total_Units_for_Households_with_Children_PSH,Total_Beds_for_Households_with_Children_PSH,Total_Beds_for_Households_without_Children_PSH,Total_Beds_for_Households_with_only_Children_PSH,Dedicated_Veteran_Beds_PSH,Dedicated_Youth_Beds_PSH,Dedicated_Chronically_Homeless_Beds_PSH,Total_Year_Round_Beds_OPH,Total_Non_DV_Year_Round_Beds_OPH,Total_HMIS_Year_Round_Beds_OPH,HMIS_Participation_Rate_for_Year_Round_Beds_OPH,Total_Units_for_Households_with_Children_OPH,Total_Beds_for_Households_with_Children_OPH,Total_Beds_for_Households_without_Children_OPH,Total_Beds_for_Households_with_only_Children_OPH,Dedicated_Veteran_Beds_OPH,Dedicated_Youth_Beds_OPH
AK-500,1028,962,920,0.8949,749,279,0,103,361,655,12,0,114,697,697,0.9306,72,4,42,198,542,9,0,60,265,223,0.7993,61,163,113,3,0,54,0,0,.,0,0,0,0,0,0,125,96,96,0.768,29,102,23,0,14,0,604,604,340,0.5629,48,187,417,0,233,0,529,71,71,71,1,0,0,71,0,0,0
AK-501,912,528,487,0.534,649,263,0,108,348,555,9,14,31,339,307,0.473,93,35,77,259,384,6,0,16,189,180,0.6844,31,89,171,3,14,15,0,0,.,0,0,0,0,0,0,90,79,79,0.8778,21,72,18,0,18,0,344,344,177,0.5145,27,87,257,0,167,0,287,0,0,0,.,0,0,0,0,0,0
AL-500,911,811,657,0.7212,569,308,34,112,321,578,12,133,36,483,444,0.7803,0,40,76,218,339,12,89,16,294,179,0.5812,36,103,205,0,44,20,34,34,1,0,0,34,0,0,0,191,191,191,1,13,45,146,0,20,19,1768,1768,1277,0.7223,157,525,1243,0,566,0,299,0,0,0,.,0,0,0,0,0,0
AL-501,435,347,310,0.7126,298,137,0,62,214,221,0,43,0,246,211,0.7081,0,20,32,117,181,0,5,0,101,99,0.7226,30,97,40,0,38,0,0,0,.,0,0,0,0,0,0,60,60,60,1,13,39,21,0,17,0,203,203,203,1,5,15,188,0,0,0,157,0,0,0,.,0,0,0,0,0,0
AL-502,210,142,0,0.0,102,108,0,20,90,104,16,0,16,62,0,0,75,0,13,65,37,0,0,0,80,0,0,7,25,67,16,0,16,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,50,50,0,0,0,0,50,0,0,0,50,0,0,0,.,0,0,0,0,0,0
AL-503,531,476,123,0.2316,504,27,0,51,179,336,16,0,23,454,101,0.2004,0,0,40,159,329,16,0,16,22,22,0.8148,11,20,7,0,0,7,0,0,.,0,0,0,0,0,0,3,3,3,1,0,0,3,0,3,0,309,309,78,0.2524,22,86,223,0,231,0,300,0,0,0,.,0,0,0,0,0,0
AL-504,360,300,300,0.8333,213,147,0,42,126,234,0,36,0,207,207,0.9718,0,0,15,47,166,0,36,0,93,93,0.6327,27,79,68,0,0,0,0,0,.,0,0,0,0,0,0,55,55,55,1,7,20,35,0,28,0,464,464,241,0.5194,53,165,299,0,223,0,134,0,0,0,.,0,0,0,0,0,0
AL-505,153,131,131,0.8562,149,4,0,4,34,105,14,0,14,127,127,0.8523,0,0,4,34,101,14,0,14,4,4,1,0,0,4,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,1,2,4,4,0,0,0,8,0,0,0,.,0,0,0,0,0,0
AL-506,127,89,83,0.6535,91,36,0,21,47,80,0,8,14,75,75,0.8242,0,0,15,25,66,0,0,14,14,8,0.2222,6,22,14,0,8,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,294,294,244,0.8299,37,64,230,0,267,0,0,0,0,0,.,0,0,0,0,0,0
AL-507,461,377,29,0.0629,188,273,0,38,110,350,1,36,38,104,0,0,0,2,32,90,98,0,11,33,273,29,0.1062,6,20,252,1,25,5,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,221,221,93,0.4208,10,32,189,0,26,4,29,0,0,0,.,0,0,0,0,0,0
